ID,Food Name,Serving Types,cooked Type,Carb_1,Fat_1,Protein_1,Carb_2,Fat_2,Protein_2,Carb_3,Fat_3,Protein_3,Carb_4,Fat_4,Protein_4
190,Sugar Snap Peas,oz/g,uncooked,2.14,0.057,0.794,0.0755,0.002,0.028,,,,,,
191,Spinach,oz/g,uncooked,1.029,0.111,0.811,0.0363,0.0039,0.0286,,,,,,
192,Spring Onion,oz/g,uncooked,2.081,0.054,0.519,0.0734,0.0019,0.0183,,,,,,
193,Spaghetti Squash,oz/g,uncooked,1.831,0.074,0.187,0.0646,0.0026,0.0066,,,,,,
194,Yellow Squash,oz/g,uncooked,1.1,0.77,0.286,0.0388,0.0027,0.0101,,,,,,
195,Acorn Squash,oz/g,uncooked,4.133,0.04,0.318,0.1458,0.0014,0.0112,,,,,,
196,Butternut Squash,oz/g,uncooked,1.843,0.028,0.283,0.065,0.001,0.010,,,,,,
197,Greenhouse Tomato,oz/g,uncooked,1.341,0.0,0.306,0.0473,0.0,0.0108,,,,,,
198,Roma Tomato,oz/g,uncooked,1.103,0.057,0.249,0.0389,0.002,0.0088,,,,,,
199,Grape Tomato,oz/g,uncooked,1.103,0.0057,0.0249,0.0389,0.002,0.0088,,,,,,
200,Campari Tomato,oz/g,uncooked,1.341,0.096,0.192,0.0473,0.0034,0.0068,,,,,,
201,Beefsteak Tomato,oz/g,uncooked,1.103,0.057,0.249,0.0389,0.002,0.0088,,,,,,
202,Yams,oz/g,uncooked,6.148,0.0,0.171,0.2169,0.0,0.006,,,,,,
203,Zucchini,oz/g,uncooked,0.882,0.091,0.343,0.0311,0.0032,0.0121,,,,,,
204,Honeycrisp Apple,oz/g,none,3.915,0.048,0.074,0.1381,0.0017,0.0026,,,,,,
205,Gala Apple,oz/g,none,3.878,0.034,0.071,0.1368,0.0012,0.0025,,,,,,
206,Pink Lady Apple,oz/g,none,3.915,0.048,0.074,0.1381,0.0017,0.0026,,,,,,
207,Fuji Apple,oz/g,none,4.315,0.051,0.057,0.1522,0.0018,0.002,,,,,,
208,Mcintosh Apple,oz/g,none,3.915,0.048,0.074,0.1381,0.0017,0.0026,,,,,,
209,Granny Smith Apple,oz/g,none,3.858,0.054,0.125,0.1361,0.0019,0.0044,,,,,,
210,Ambrosia Apple,oz/g,none,3.915,0.048,0.074,0.1381,0.0017,0.0026,,,,,,
211,Red Delicious Apple,oz/g,none,3.986,0.057,0.077,0.1406,0.002,0.0027,,,,,,
212,Golden Delicious Apple,oz/g,none,3.856,0.043,0.079,0.136,0.0015,0.0028,,,,,,
213,Apricot,oz/g,none,3.159,0.081,0.405,0.1114,0.0029,0.0143,,,,,,
214,Avocado,oz/g,none,2.418,4.156,0.567,0.0853,0.1466,0.020,,,,,,
215,Banana,oz/g,none,6.475,0.094,0.309,0.2284,0.0033,0.0109,,,,,,
216,Green Bell Pepper,oz/g,none,1.313,0.048,0.244,0.0464,0.0017,0.0086,,,,,,
217,Red Bell Pepper,oz/g,none,1.709,0.085,0.281,0.0603,0.003,0.0099,,,,,,
218,Orange Bell Pepper,oz/g,none,1.899,0.057,0.261,0.067,0.002,0.0092,,,,,,
219,Yellow Bell Pepper,oz/g,none,1.792,0.006,0.283,0.0632,0.0021,0.010,,,,,,
220,Jalapeno,oz/g,none,2.172,0.113,0.394,0.0766,0.004,0.0139,,,,,,
221,Poblano Pepper,oz/g,none,1.315,0.048,0.244,0.0464,0.0017,0.0086,,,,,,
222,Chilli Pepper,oz/g,none,2.498,0.125,0.53,0.0881,0.0044,0.0187,,,,,,
223,Blackberries,oz/g,none,2.724,0.139,0.394,0.0961,0.0049,0.0139,,,,,,
224,Blueberries,oz/g,none,4.108,0.094,0.21,0.1449,0.0033,0.0074,,,,,,
225,Cantaloupe,oz/g,none,2.313,0.051,0.232,0.0816,0.0018,0.0082,,,,,,
226,Cherries,oz/g,none,4.539,0.057,0.301,0.1601,0.002,0.0106,,,,,,
227,Clementine,oz/g,none,3.782,0.088,0.23,0.1334,0.0031,0.0081,,,,,,
228,Cranberries,oz/g,none,3.393,0.037,0.13,0.1197,0.0013,0.0046,,,,,,
229,Elderberries,oz/g,none,5.216,0.142,0.187,0.184,0.005,0.0066,,,,,,
230,Grapes,oz/g,none,5.131,0.045,0.204,0.181,0.0016,0.0072,,,,,,
231,Grapefruit,oz/g,none,3.022,0.04,0.218,0.1066,0.0014,0.0077,,,,,,
232,Guava,oz/g,none,3.118,0.142,0.397,0.110,0.005,0.014,,,,,,
233,Fig,oz/g,none,5.427,0.085,0.213,0.1918,0.003,0.0075,,,,,,
234,Honeydew Melon,oz/g,none,2.551,0.028,0.142,0.090,0.001,0.005,,,,,,
235,Kiwi,oz/g,none,3.969,0.125,0.301,0.140,0.0044,0.0106,,,,,,
236,Lemon,oz/g,none,2.642,0.085,0.312,0.0932,0.003,0.011,,,,,,
237,Lime,oz/g,none,2.988,0.057,0.198,0.1054,0.002,0.007,,,,,,
238,Mandarin,oz/g,none,3.782,0.088,0.23,0.1334,0.0031,0.0081,,,,,,
239,Mango,oz/g,none,4.247,0.108,0.232,0.1498,0.0038,0.0082,,,,,,
240,Orange,oz/g,none,3.331,0.034,0.266,0.1175,0.0012,0.0094,,,,,,
241,Olive,oz/g,none,1.775,3.09,0.238,0.0604,0.109,0.0084,,,,,,
242,Papaya,oz/g,none,3.067,0.074,0.133,0.1082,0.0026,0.0047,,,,,,
243,Peach,oz/g,none,2.863,0.077,0.258,0.101,0.0027,0.0091,,,,,,
244,Pear,oz/g,none,4.318,0.04,0.102,0.1523,0.0014,0.0036,,,,,,
245,Pineapple,oz/g,none,3.719,0.034,0.153,0.1312,0.0012,0.0054,,,,,,
246,Plum,oz/g,none,3.238,0.079,0.198,0.1142,0.0028,0.007,,,,,,
247,Pomegranate,oz/g,none,5.301,0.332,0.473,0.187,0.0117,0.0167,,,,,,
248,Pumpkin,oz/g,none,1.843,0.028,0.283,0.065,0.001,0.010,,,,,,
249,Raspberries,oz/g,none,3.385,0.184,0.34,0.1194,0.0065,0.012,,,,,,
250,Raisin,oz/g,none,22.487,0.071,0.936,0.7932,0.0025,0.033,,,,,,
251,Strawberries,oz/g,none,1.701,0.028,0.227,0.060,0.001,0.008,,,,,,
252,Tangerine,oz/g,none,3.782,0.088,0.23,0.1334,0.0031,0.0081,,,,,,
253,Watermelon,oz/g,none,2.14,0.043,0.173,0.0755,0.0015,0.0061,,,,,,
254,Egg,Small/Medium/Large/Extra Large,none,0.3,3.6,4.8,0.3,4.2,5.5,0.4,4.8,6.3,0.4,5.3,7.0
255,Liquid Egg,oz/g,uncooked,0.181,0.938,3.402,0.0064,0.0331,0.120,,,,,,
256,Liquid Egg Whites,oz/g,uncooked,0.207,0.048,3.09,0.0073,0.0017,0.109,,,,,,
257,Butter,oz/g,none,0.017,22.994,0.241,0.0006,0.8111,0.0085,,,,,,
258,Fairlife - Lactose Free 2% Milk,cup/mL,none,6.0,4.5,13.0,0.025,0.019,0.055,,,,,,
259,Fairlife - Lactose & Fat Free Milk,cup/mL,none,6.0,0.0,13.0,0.025,0.0,0.055,,,,,,
260,Fairlife - Lactose Free 2% Chocolate Milk,cup/mL,none,13.0,4.5,13.0,0.055,0.019,0.055,,,,,,
261,Fairlife - Lactose Free Whole Milk,cup/mL,none,6.0,8.0,13.0,0.025,0.034,0.055,,,,,,
262,Whole Milk,cup/mL,none,11.7,7.9,7.7,0.05,0.034,0.032,,,,,,
263,2% Milk,cup/mL,none,12.0,4.6,8.2,0.05,0.019,0.034,,,,,,
264,1% Milk,cup/mL,none,12.7,2.3,8.2,0.053,0.01,0.034,,,,,,
265,Fat Free Milk,cup/mL,none,13.0,0.0,8.0,0.055,0.0,0.034,,,,,,
266,Whole Chocolate Milk,cup/mL,none,24.7,7.8,8.3,0.103,0.032,0.035,,,,,,
267,2% Chocolate Milk,cup/mL,none,27.0,4.5,9.0,0.114,0.019,0.038,,,,,,
268,1% Chocolate Milk,cup/mL,none,24.0,2.5,8.0,0.101,0.011,0.034,,,,,,
269,Fat Free Chocolate Milk,cup/mL,none,24.0,0.0,8.0,0.102,0.0,0.034,,,,,,
270,Almond Milk - Vanilla - Unsweetened,cup/mL,none,1.0,2.5,1.0,0.004,0.011,0.004,,,,,,
271,Almond Milk - Unsweetened,cup/mL,none,1.0,3.0,1.0,0.004,0.013,0.004,,,,,,
272,Almond Milk - Vanilla - Sweetened,cup/mL,none,14.0,2.5,1.0,0.059,0.011,0.004,,,,,,
